,0,1,2,3,4
accuracy,0.38181818181818183,0.36363636363636365,0.35185185185185186,0.3333333333333333,0.4074074074074074
precision,0.42814645308924487,0.18743961352657004,0.1840277777777778,0.3127104377104377,0.4367588932806324
recall,0.3107170607170607,0.248761655011655,0.23368298368298368,0.25412781662781664,0.33452658452658457
f1,0.3196988196988197,0.21336996336996336,0.2058158954710679,0.250733137829912,0.3465253775598603
auc,0.6139241314241314,0.6370187104562104,0.6296170843045843,0.5364075160950161,0.6795433732933734
