,accuracy,precision,recall,f1,auc
MLP,0.46153846153846156,0.3833333333333333,0.34722222222222227,0.3253968253968254,0.7611111111111112
SVM,0.38461538461538464,0.28703703703703703,0.3333333333333333,0.255050505050505,0.35000000000000003
RF,0.38461538461538464,0.23611111111111108,0.27777777777777773,0.25,0.6895833333333333
KNN,0.38461538461538464,0.27777777777777773,0.3055555555555555,0.273015873015873,0.6986111111111111
GBDT,0.46153846153846156,0.2063492063492063,0.3333333333333333,0.2545454545454546,0.6819444444444446
