,0,1,2,3,4
accuracy,0.38181818181818183,0.34545454545454546,0.3888888888888889,0.35185185185185186,0.35185185185185186
precision,0.4081569664902998,0.2601010101010101,0.24116161616161616,0.23133814929480565,0.26348039215686275
recall,0.3145673770673771,0.23986430236430234,0.26310148185148186,0.25647269397269395,0.2811528749028749
f1,0.3255700621061698,0.22566242131459524,0.24940498098392835,0.23124098124098122,0.2658630641389262
auc,0.6566876873126873,0.5984185085747585,0.5940881167443668,0.6105716332278832,0.6326029872904873
