,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5,0.3333333333333333,0.5
precision,0.0,0.0,0.05,0.2333333333333333,0.5,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.08333333333333333,0.2,0.3333333333333333,0.4,0.16666666666666666,0.4666666666666666
recall,0.0,0.0,0.1,0.3,0.5,0.3,0.4,0.3,0.1,0.2,0.08333333333333333,0.2,0.25,0.4,0.4,0.5
f1,0.0,0.0,0.06666666666666667,0.26,0.47222222222222215,0.21333333333333332,0.3333333333333333,0.27999999999999997,0.08,0.1,0.08333333333333333,0.2,0.26666666666666666,0.4,0.2333333333333333,0.4333333333333333
auc,0.49375,0.375,0.75625,0.725,0.7625,0.50625,0.65,0.5125,0.38125,0.51875,0.3375,0.53125,0.5416666666666666,0.5625,0.5125,0.6
