,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
precision,0.1,0.05,0.3333333333333333,0.1,0.2222222222222222,0.25,0.4,0.041666666666666664,0.16666666666666666,0.05,0.1,0.08333333333333333,0.06666666666666667,0.2,0.05,0.1
recall,0.2,0.1,0.5,0.2,0.25,0.3333333333333333,0.5,0.08333333333333333,0.16666666666666666,0.1,0.1,0.08333333333333333,0.1,0.3,0.1,0.1
f1,0.13333333333333333,0.06666666666666667,0.38888888888888884,0.13333333333333333,0.2333333333333333,0.27777777777777773,0.4333333333333333,0.05555555555555555,0.16666666666666666,0.06666666666666667,0.1,0.08333333333333333,0.08,0.2333333333333333,0.06666666666666667,0.1
auc,0.4,0.2625,0.875,0.5375,0.6875,0.5875,0.65,0.575,0.3625,0.3,0.35,0.4,0.5833333333333334,0.4791666666666667,0.6,0.55
