,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666
precision,0.1875,0.25,0.2,0.06666666666666667,0.6666666666666666,0.0,0.25,0.26666666666666666,0.36666666666666664,0.26666666666666666,0.4666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.1,0.3333333333333333
recall,0.375,0.375,0.3,0.2,0.7,0.0,0.4,0.3,0.5,0.4,0.5,0.16666666666666666,0.16666666666666666,0.0,0.2,0.5
f1,0.225,0.29166666666666663,0.2333333333333333,0.1,0.6333333333333333,0.0,0.27999999999999997,0.2333333333333333,0.3666666666666666,0.3,0.48,0.08333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.4
auc,0.5416666666666666,0.4791666666666667,0.7375,0.475,0.8875,0.3875,0.6,0.6625,0.6375,0.625,0.85,0.5875,0.5375,0.4375,0.55,0.7708333333333334
