,0,1,2,3,4
accuracy,0.3090909090909091,0.2727272727272727,0.3148148148148148,0.25925925925925924,0.37037037037037035
precision,0.262037037037037,0.23809523809523805,0.23379629629629628,0.18646996278575226,0.33287037037037037
recall,0.25950785325785325,0.2113927738927739,0.2229541292041292,0.2147921522921523,0.322278416028416
f1,0.25600255427841634,0.2157238585008571,0.22197583118635753,0.19518999518999522,0.3218542680229987
auc,0.6029247141747142,0.5662270021645022,0.5651822136197137,0.5510158244533245,0.6255456349206349
