,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333
precision,0.125,0.125,0.4,0.16666666666666666,0.4,0.05,0.05,0.16666666666666666,0.16666666666666666,0.0,0.27999999999999997,0.16666666666666666,0.1,0.0,0.06666666666666667,0.08
recall,0.25,0.25,0.5,0.4,0.6,0.2,0.2,0.3,0.4,0.0,0.4,0.3,0.2,0.0,0.2,0.2
f1,0.16666666666666666,0.16666666666666666,0.4333333333333333,0.2333333333333333,0.4666666666666666,0.08,0.08,0.2,0.2333333333333333,0.0,0.31428571428571433,0.21333333333333332,0.13333333333333333,0.0,0.1,0.1142857142857143
auc,0.75,0.4166666666666667,0.55,0.425,0.375,0.4,0.625,0.325,0.6,0.575,0.55,0.8,0.7,0.775,0.625,0.9166666666666666
