,0,1,2,3,4
accuracy,0.4,0.2727272727272727,0.2962962962962963,0.2962962962962963,0.3148148148148148
precision,0.25396825396825395,0.19128787878787878,0.1928210678210678,0.25296272355095883,0.25021645021645017
recall,0.2869838494838495,0.21310980685980688,0.20236013986013987,0.24276418026418026,0.2503538128538128
f1,0.2677918944585611,0.20003987240829343,0.19647829647829648,0.24455667789001123,0.24705387205387205
auc,0.5926558164058164,0.5800933441558441,0.5725474178599178,0.5663799741924741,0.6410095113220111
