,0,1,2,3,4
accuracy,0.3090909090909091,0.38181818181818183,0.4074074074074074,0.24074074074074073,0.37037037037037035
precision,0.26666666666666666,0.3199346405228758,0.2579156223893066,0.19212775528565004,0.3260851349086643
recall,0.3045738983238983,0.3335518648018648,0.2830606893106893,0.20197163947163946,0.3025585525585525
f1,0.28250552989683425,0.3120288313836701,0.266017316017316,0.19356869184455391,0.30205774617539327
auc,0.5947816766566766,0.6437177405927407,0.5906078296703297,0.48852397602397607,0.5794713966588968
