,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
precision,0.125,0.16666666666666666,0.2333333333333333,0.16666666666666666,0.4,0.13333333333333333,0.16666666666666666,0.1,0.16666666666666666,0.1,0.1,0.1,0.16666666666666666,0.2,0.4666666666666666,0.25
recall,0.25,0.375,0.4,0.4,0.6,0.4,0.3,0.2,0.3333333333333333,0.2,0.2,0.2,0.3,0.3,0.6,0.16666666666666666
f1,0.16666666666666666,0.225,0.29333333333333333,0.2333333333333333,0.4666666666666666,0.2,0.21333333333333332,0.13333333333333333,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.21333333333333332,0.2333333333333333,0.5,0.19444444444444442
auc,0.7708333333333334,0.5833333333333334,0.525,0.6,0.825,0.65,0.7125,0.25,0.5,0.575,0.8125,0.4,0.75,0.7375,0.625,0.5833333333333334
