,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
precision,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.45,0.16666666666666666,0.2,0.26666666666666666,0.13999999999999999,0.05,0.3,0.06666666666666667,0.29166666666666663,0.3333333333333333,0.06666666666666667,0.06666666666666667
recall,0.0,0.2,0.2,0.1,0.5,0.3,0.3,0.3,0.2,0.1,0.3,0.1,0.375,0.375,0.1,0.1
f1,0.0,0.16,0.16,0.08,0.4666666666666666,0.21333333333333332,0.24000000000000005,0.2333333333333333,0.15714285714285717,0.06666666666666667,0.3,0.08,0.325,0.29166666666666663,0.08,0.08
auc,0.35,0.4125,0.5875,0.525,0.8625,0.575,0.5875,0.75,0.33125,0.2375,0.65,0.3375,0.6458333333333334,0.6041666666666666,0.625,0.675
