,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.5,0.16666666666666666,0.5
precision,0.06666666666666667,0.05,0.1,0.04,0.4,0.48,0.3333333333333333,0.06666666666666667,0.04,0.0,0.1,0.26666666666666666,0.125,0.625,0.05,0.36666666666666664
recall,0.1,0.1,0.2,0.1,0.5,0.5,0.4,0.2,0.1,0.0,0.2,0.3,0.25,0.5,0.1,0.5
f1,0.08,0.06666666666666667,0.13333333333333333,0.05714285714285715,0.4333333333333333,0.44761904761904764,0.31333333333333335,0.1,0.05714285714285715,0.0,0.13333333333333333,0.2333333333333333,0.16666666666666666,0.5,0.06666666666666667,0.3666666666666666
auc,0.4125,0.5,0.525,0.5125,0.6625,0.6,0.6875,0.625,0.525,0.75,0.8,0.425,0.8958333333333334,0.4791666666666667,0.625,0.375
