,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.5,0.16666666666666666,0.5,0.16666666666666666
precision,0.05,0.2,0.16666666666666666,0.26666666666666666,0.5666666666666667,0.2,0.2333333333333333,0.13333333333333333,0.06666666666666667,0.13888888888888887,0.5,0.06666666666666667,0.3333333333333333,0.1,0.3,0.1
recall,0.1,0.3,0.3,0.4,0.6,0.3,0.4,0.2,0.1,0.25,0.5,0.1,0.375,0.1,0.4,0.2
f1,0.06666666666666667,0.2333333333333333,0.2,0.3,0.5333333333333333,0.2333333333333333,0.29333333333333333,0.16,0.08,0.17777777777777778,0.5,0.08,0.35,0.1,0.3333333333333333,0.13333333333333333
auc,0.5125,0.425,0.75,0.7625,0.825,0.625,0.6375,0.65,0.525,0.4375,0.75,0.3125,0.6666666666666666,0.5416666666666666,0.725,0.625
