,0,1,2,3,4
accuracy,0.32051282051282054,0.20512820512820512,0.20512820512820512,0.2692307692307692,0.2692307692307692
precision,0.2598248494800219,0.14067632850241543,0.13559737988148782,0.22979431336963096,0.23070818070818067
recall,0.2291967291967292,0.1579124579124579,0.1512987012987013,0.2015151515151515,0.20762385762385763
f1,0.2284080298786181,0.1487137142232327,0.1405327787680729,0.20287114845938378,0.21236134156269829
auc,0.5945966155057064,0.5398323786202576,0.5673871470841169,0.5997925284591951,0.5787643097643097
