,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3125,0.375,0.1875,0.3125,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.2,0.4666666666666667,0.26666666666666666,0.3333333333333333
precision,0.12222222222222223,0.1972222222222222,0.09999999999999999,0.11574074074074074,0.11428571428571428,0.196969696969697,0.08888888888888889,0.13333333333333333,0.12037037037037036,0.19365079365079363,0.1603174603174603,0.06060606060606061,0.0787037037037037,0.2175925925925926,0.15476190476190477,0.1574074074074074
recall,0.18888888888888888,0.27499999999999997,0.09999999999999999,0.17500000000000002,0.17777777777777778,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.19444444444444442,0.2916666666666667,0.2111111111111111,0.13333333333333333,0.14444444444444446,0.27777777777777773,0.15555555555555556,0.18888888888888888
f1,0.14444444444444446,0.2239010989010989,0.09999999999999999,0.1369047619047619,0.13888888888888887,0.15555555555555556,0.12037037037037036,0.12698412698412698,0.14652014652014653,0.22979797979797978,0.18055555555555555,0.08333333333333336,0.0925925925925926,0.2333333333333333,0.15,0.1619047619047619
auc,0.5734722222222222,0.49166666666666675,0.34458333333333335,0.5897222222222223,0.5152777777777777,0.4791666666666667,0.5791666666666667,0.5666666666666667,0.39444444444444443,0.6585648148148149,0.5303703703703703,0.6929629629629629,0.6212962962962963,0.5555555555555555,0.44333333333333336,0.5155555555555555
