,0,1,2,3,4
accuracy,0.358974358974359,0.23076923076923078,0.3333333333333333,0.28205128205128205,0.3333333333333333
precision,0.16821525358110723,0.07386363636363637,0.1111111111111111,0.134640522875817,0.1658653846153846
recall,0.22077922077922077,0.13636363636363635,0.196969696969697,0.17272727272727273,0.20339105339105337
f1,0.1805046805046805,0.09539842873176206,0.1402930402930403,0.13614916286149162,0.15620848812338173
auc,0.5808983048376988,0.532066844491087,0.5651700992610084,0.6054773128106462,0.5495905082571749
