,0,1,2,3,4
accuracy,0.3717948717948718,0.20512820512820512,0.24358974358974358,0.21794871794871795,0.23076923076923078
precision,0.20907407407407408,0.19682539682539682,0.23282828282828283,0.12179487179487179,0.1362674362674363
recall,0.24362674362674364,0.1579124579124579,0.17941317941317944,0.13874458874458873,0.15483405483405485
f1,0.21805487249361058,0.16271062271062273,0.18761854424645122,0.1291582235731172,0.13937728937728935
auc,0.6387568323931958,0.5557141399565642,0.5455909746818838,0.5684840468173802,0.5190117043450376
