,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.25,0.375,0.1875,0.3125,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.3333333333333333
precision,0.06666666666666667,0.1972222222222222,0.08333333333333333,0.15,0.11428571428571428,0.196969696969697,0.08888888888888889,0.13333333333333333,0.12037037037037036,0.19365079365079363,0.1603174603174603,0.06060606060606061,0.2916666666666667,0.2175925925925926,0.22916666666666666,0.1574074074074074
recall,0.13333333333333333,0.27499999999999997,0.09999999999999999,0.17500000000000002,0.17777777777777778,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.19444444444444442,0.2916666666666667,0.2111111111111111,0.13333333333333333,0.2333333333333333,0.27777777777777773,0.15555555555555556,0.18888888888888888
f1,0.08888888888888889,0.2239010989010989,0.0909090909090909,0.14444444444444446,0.13888888888888887,0.15555555555555556,0.12037037037037036,0.12698412698412698,0.14652014652014653,0.22979797979797978,0.18055555555555555,0.08333333333333336,0.21801346801346802,0.2333333333333333,0.16025641025641024,0.1619047619047619
auc,0.5723611111111111,0.5106944444444445,0.3465277777777777,0.5625,0.5119444444444444,0.46875,0.5777777777777778,0.5729166666666666,0.3784722222222222,0.6655092592592593,0.5092592592592592,0.692037037037037,0.617962962962963,0.5653703703703703,0.45259259259259266,0.5105555555555557
