,0,1,2,3,4
accuracy,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.358974358974359,0.28205128205128205
precision,0.29394816894816894,0.4781746031746032,0.1673494559711026,0.2919444444444444,0.17217261904761905
recall,0.20634920634920637,0.23210678210678212,0.23160173160173161,0.27748917748917745,0.1847763347763348
f1,0.19439870863599676,0.2456514550264551,0.18431101909362776,0.26729780271154746,0.16665708151215397
auc,0.6501021397233518,0.5446936901482355,0.5507837392685876,0.5796911175244509,0.49978691678691683
