,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3125,0.3125,0.1875,0.3125,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.4
precision,0.10833333333333334,0.1074074074074074,0.05555555555555555,0.10683760683760683,0.24583333333333335,0.1346153846153846,0.2492063492063492,0.19206349206349205,0.05555555555555555,0.11428571428571428,0.06060606060606061,0.2611111111111111,0.06410256410256411,0.08333333333333333,0.1527777777777778,0.20555555555555557
recall,0.18888888888888888,0.18888888888888888,0.09999999999999999,0.18888888888888888,0.30833333333333335,0.20833333333333334,0.3194444444444444,0.2222222222222222,0.08333333333333333,0.19444444444444442,0.13333333333333333,0.3,0.16666666666666666,0.15555555555555556,0.2222222222222222,0.24444444444444444
f1,0.1365079365079365,0.1369047619047619,0.07142857142857142,0.12962962962962962,0.25747863247863245,0.13398692810457516,0.2694805194805195,0.19751082251082253,0.06666666666666667,0.14393939393939395,0.08333333333333336,0.26666666666666666,0.0925925925925926,0.10833333333333334,0.16470588235294117,0.2111111111111111
auc,0.606111111111111,0.48138888888888887,0.42666666666666664,0.61,0.32999999999999996,0.5375,0.44583333333333336,0.6555555555555556,0.5351851851851852,0.48194444444444445,0.6144444444444445,0.7811111111111111,0.6237037037037038,0.5333333333333333,0.29444444444444445,0.5011111111111112
