,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.24,0.4,0.28,0.24,0.32,0.28,0.3333333333333333,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.125,0.25,0.16666666666666666,0.16666666666666666
precision,0.11666666666666665,0.35353535353535354,0.15277777777777776,0.12499999999999999,0.4123931623931624,0.1842948717948718,0.2222222222222222,0.125,0.16984126984126982,0.12638888888888888,0.11805555555555554,0.15782828282828285,0.05714285714285714,0.13804713804713806,0.07037037037037037,0.07083333333333333
recall,0.14285714285714288,0.2976190476190476,0.22698412698412695,0.15238095238095237,0.36904761904761907,0.1761904761904762,0.21626984126984128,0.1130952380952381,0.18452380952380953,0.1369047619047619,0.1369047619047619,0.18452380952380953,0.07936507936507936,0.18253968253968253,0.10317460317460318,0.0992063492063492
f1,0.12581699346405226,0.3062678062678062,0.18154761904761907,0.13724747474747473,0.3700854700854701,0.16428571428571428,0.19797979797979795,0.10818713450292398,0.17366946778711487,0.12866479925303453,0.12638888888888888,0.16702279202279202,0.06547619047619048,0.15555555555555553,0.08333333333333333,0.08263305322128851
auc,0.5068367346938776,0.6804195011337869,0.5262811791383221,0.6129761904761905,0.6948809523809524,0.43855442176870757,0.5299272486772487,0.5274470899470899,0.4149234693877551,0.5386479591836735,0.5656604308390023,0.5984552154195011,0.49166666666666664,0.5530092592592593,0.5183994708994709,0.3959126984126983
