,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.25,0.25,0.0625,0.25,0.4,0.26666666666666666,0.4,0.2,0.2,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.13333333333333333,0.2
precision,0.25595238095238093,0.16666666666666666,0.03333333333333333,0.10476190476190476,0.23888888888888885,0.15277777777777776,0.3055555555555555,0.1111111111111111,0.09047619047619049,0.15555555555555556,0.2569444444444444,0.15,0.08333333333333333,0.10185185185185185,0.19444444444444445,0.05555555555555555
recall,0.19166666666666665,0.15,0.03333333333333333,0.15555555555555556,0.27499999999999997,0.16666666666666666,0.3194444444444444,0.125,0.15277777777777776,0.18055555555555555,0.2111111111111111,0.18888888888888888,0.14444444444444446,0.18888888888888888,0.08888888888888889,0.09999999999999999
f1,0.20833333333333334,0.1574074074074074,0.03333333333333334,0.125,0.24116161616161613,0.15833333333333333,0.3002645502645503,0.11428571428571428,0.11363636363636365,0.16666666666666663,0.1972934472934473,0.15555555555555556,0.09764309764309764,0.13227513227513227,0.11363636363636363,0.07142857142857142
auc,0.5002777777777778,0.4875,0.41305555555555556,0.4894444444444445,0.4755555555555555,0.54375,0.673611111111111,0.548611111111111,0.4800925925925926,0.6,0.4762962962962963,0.5392592592592592,0.5959259259259259,0.42962962962962964,0.3648148148148148,0.355925925925926
