,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.1875,0.1875,0.25,0.125,0.4,0.2,0.2,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.2,0.4,0.2,0.3333333333333333
precision,0.1111111111111111,0.15277777777777776,0.24603174603174605,0.08333333333333333,0.3055555555555555,0.125,0.20833333333333334,0.15,0.2638888888888889,0.27777777777777773,0.19999999999999998,0.12698412698412698,0.13888888888888887,0.29365079365079366,0.13888888888888887,0.125
recall,0.10833333333333334,0.12222222222222223,0.20555555555555557,0.08888888888888889,0.37777777777777777,0.125,0.18055555555555555,0.18055555555555555,0.2638888888888889,0.3194444444444444,0.2888888888888889,0.2111111111111111,0.16666666666666666,0.29444444444444445,0.14444444444444446,0.3
f1,0.10740740740740741,0.13095238095238096,0.20505050505050504,0.08585858585858586,0.33164983164983164,0.1111111111111111,0.17777777777777778,0.15873015873015875,0.2638888888888889,0.28835978835978837,0.20833333333333334,0.1574074074074074,0.14074074074074075,0.2888888888888889,0.1414141414141414,0.1692307692307692
auc,0.5847222222222221,0.51,0.3963888888888889,0.5197222222222222,0.6733333333333333,0.46041666666666664,0.5013888888888889,0.6090277777777778,0.5819444444444445,0.6370370370370371,0.6418518518518518,0.6192592592592593,0.614074074074074,0.7066666666666667,0.42814814814814817,0.5685185185185185
