,0,1,2,3,4
accuracy,0.2692307692307692,0.23076923076923078,0.20512820512820512,0.23076923076923078,0.2692307692307692
precision,0.1951058201058201,0.1584640522875817,0.11595607235142119,0.1365281224152192,0.27314814814814814
recall,0.18795093795093795,0.16750841750841752,0.12554112554112554,0.15654160654160654,0.1880952380952381
f1,0.18546726959517656,0.15549580443197464,0.10505698005698005,0.14446558497612885,0.1812739463601533
auc,0.5414550993338874,0.5050242686606323,0.5116443657352747,0.5463268398268398,0.5379444444444444
