,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
accuracy,0.3125,0.3125,0.1875,0.3125,0.4,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333
precision,0.10833333333333334,0.1074074074074074,0.05555555555555555,0.10683760683760683,0.14583333333333334,0.1346153846153846,0.2492063492063492,0.25833333333333336,0.05555555555555555,0.11428571428571428,0.06666666666666667,0.2611111111111111,0.06944444444444445,0.10227272727272728,0.1527777777777778,0.18055555555555555
recall,0.18888888888888888,0.18888888888888888,0.09999999999999999,0.18888888888888888,0.26666666666666666,0.20833333333333334,0.3194444444444444,0.2222222222222222,0.08333333333333333,0.19444444444444442,0.13333333333333333,0.3,0.16666666666666666,0.18888888888888888,0.2222222222222222,0.2111111111111111
f1,0.1365079365079365,0.1369047619047619,0.07142857142857142,0.12962962962962962,0.18803418803418803,0.13398692810457516,0.2694805194805195,0.18571428571428572,0.06666666666666667,0.14393939393939395,0.08888888888888889,0.26666666666666666,0.09803921568627451,0.13095238095238096,0.16470588235294117,0.18571428571428572
auc,0.5827777777777778,0.47944444444444445,0.4422222222222221,0.588888888888889,0.3288888888888889,0.5166666666666667,0.4451388888888889,0.6166666666666667,0.5435185185185186,0.4763888888888889,0.62,0.7977777777777778,0.6107407407407408,0.538888888888889,0.30666666666666664,0.47111111111111115
