,accuracy,precision,recall,f1,auc
MLP,0.4642857142857143,0.5277777777777778,0.4059523809523809,0.4067693744164332,0.725124716553288
SVM,0.32142857142857145,0.17763157894736845,0.21428571428571427,0.16783216783216784,0.6585827664399094
RF,0.32142857142857145,0.20993589743589744,0.2238095238095238,0.1976190476190476,0.7148469387755102
KNN,0.21428571428571427,0.1139069264069264,0.17460317460317457,0.13347763347763344,0.6767403628117914
GBDT,0.25,0.3125,0.23571428571428568,0.25925925925925924,0.6547278911564625
